date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:22:43	525100/525100	---M--	200	added ('OK')	application/octet-stream	etag:%2264138fa2-8032c%22	https://qantaradigital.com/fonts/HelveticaNeue-Bold-02.ttf	C:/My%20Web%20Sites/2peco/qantaradigital.com/fonts/HelveticaNeue-Bold-02.ttf	(from https://qantaradigital.com/css/qantara.webflow.css)
14:22:44	568908/568908	---M--	200	added ('OK')	application/octet-stream	etag:%2264138fa2-8ae4c%22	https://qantaradigital.com/fonts/HelveticaNeue-01.ttf	C:/My%20Web%20Sites/2peco/qantaradigital.com/fonts/HelveticaNeue-01.ttf	(from https://qantaradigital.com/css/qantara.webflow.css)
14:22:45	254676/254676	---M--	200	added ('OK')	application/octet-stream	etag:%2264138fa2-3e2d4%22	https://qantaradigital.com/fonts/HelveticaNeue-Medium-11.ttf	C:/My%20Web%20Sites/2peco/qantaradigital.com/fonts/HelveticaNeue-Medium-11.ttf	(from https://qantaradigital.com/css/qantara.webflow.css)
14:22:46	177032/177032	---M--	200	added ('OK')	application/octet-stream	etag:%2264138fa2-2b388%22	https://qantaradigital.com/fonts/HelveticaNeue-MediumItalic-12.ttf	C:/My%20Web%20Sites/2peco/qantaradigital.com/fonts/HelveticaNeue-MediumItalic-12.ttf	(from https://qantaradigital.com/css/qantara.webflow.css)
14:22:47	1535575/1535575	---M--	200	added ('OK')	image/jpeg	etag:%2264138fa7-176e57%22	https://qantaradigital.com/images/QDBanner1.jpg	C:/My%20Web%20Sites/2peco/qantaradigital.com/images/QDBanner1.jpg	(from https://qantaradigital.com/css/qantara.webflow.css)
14:22:48	490384/490384	---M--	200	added ('OK')	application/octet-stream	etag:%2264138fa2-77b90%22	https://qantaradigital.com/fonts/HelveticaNeue-Italic-03.ttf	C:/My%20Web%20Sites/2peco/qantaradigital.com/fonts/HelveticaNeue-Italic-03.ttf	(from https://qantaradigital.com/css/qantara.webflow.css)
14:22:48	158276/158276	---M--	200	added ('OK')	application/octet-stream	etag:%2264138fa2-26a44%22	https://qantaradigital.com/fonts/HelveticaNeue-CondensedBold-05.ttf	C:/My%20Web%20Sites/2peco/qantaradigital.com/fonts/HelveticaNeue-CondensedBold-05.ttf	(from https://qantaradigital.com/css/qantara.webflow.css)
14:22:48	153860/153860	---M--	200	added ('OK')	application/octet-stream	etag:%2264138fa2-25904%22	https://qantaradigital.com/fonts/HelveticaNeue-CondensedBlack-10.ttf	C:/My%20Web%20Sites/2peco/qantaradigital.com/fonts/HelveticaNeue-CondensedBlack-10.ttf	(from https://qantaradigital.com/css/qantara.webflow.css)
14:22:48	463264/463264	---M--	200	added ('OK')	application/octet-stream	etag:%2264138fa2-711a0%22	https://qantaradigital.com/fonts/HelveticaNeue-BoldItalic-04.ttf	C:/My%20Web%20Sites/2peco/qantaradigital.com/fonts/HelveticaNeue-BoldItalic-04.ttf	(from https://qantaradigital.com/css/qantara.webflow.css)
14:22:49	15118/15118	---MCZ	200	added ('OK')	text/html	etag:W/%226416c71f-3b0e%22	https://qantaradigital.com/collaborators/jerome-vincent.html	C:/My%20Web%20Sites/2peco/qantaradigital.com/collaborators/jerome-vincent.html	(from https://qantaradigital.com/team.html)
